fullName,country,politicalGroup,id,nationalPoliticalGroup
Manuela RIPA,Germany,Group of the Greens/European Free Alliance,206158,Ökologisch-Demokratische Partei
Thomas RUDNER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,245858,Sozialdemokratische Partei Deutschlands
Martin SCHIRDEWAN,Germany,The Left group in the European Parliament - GUE/NGL,190517,DIE LINKE.
Christine SCHNEIDER,Germany,Group of the European People's Party (Christian Democrats),197422,Christlich Demokratische Union Deutschlands
Helmut SCHOLZ,Germany,The Left group in the European Parliament - GUE/NGL,96646,DIE LINKE.
Joachim SCHUSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124837,Sozialdemokratische Partei Deutschlands
Andreas SCHWAB,Germany,Group of the European People's Party (Christian Democrats),28223,Christlich Demokratische Union Deutschlands
Ralf SEEKATZ,Germany,Group of the European People's Party (Christian Democrats),197425,Christlich Demokratische Union Deutschlands
Nico SEMSROTT,Germany,Group of the Greens/European Free Alliance,197423,Independent
Sven SIMON,Germany,Group of the European People's Party (Christian Democrats),197426,Christlich Demokratische Union Deutschlands
Birgit SIPPEL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96932,Sozialdemokratische Partei Deutschlands
Martin SONNEBORN,Germany,Non-attached Members,124834,Die PARTEI
Sabine VERHEYEN,Germany,Group of the European People's Party (Christian Democrats),96756,Christlich Demokratische Union Deutschlands
Viola VON CRAMON-TAUBADEL,Germany,Group of the Greens/European Free Alliance,197451,Bündnis 90/Die Grünen
Axel VOSS,Germany,Group of the European People's Party (Christian Democrats),96761,Christlich Demokratische Union Deutschlands
Marion WALSMANN,Germany,Group of the European People's Party (Christian Democrats),197429,Christlich Demokratische Union Deutschlands
Manfred WEBER,Germany,Group of the European People's Party (Christian Democrats),28229,Christlich-Soziale Union in Bayern e.V.
Rainer WIELAND,Germany,Group of the European People's Party (Christian Democrats),2323,Christlich Demokratische Union Deutschlands
Tiemo WÖLKEN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,185619,Sozialdemokratische Partei Deutschlands
Bernhard ZIMNIOK,Germany,Identity and Democracy Group,197489,Alternative für Deutschland
